Rank,MovieName,Worldwide_lifetime_gross(M),Domestic_lifetime_gross(M),Foreign_lifetime_gross(M),DomesticPercentage,ForeignPercentage,Year_of_release
547,xXx,277.45,142.11,135.34,51.2,48.8,2002
548,The Bourne Legacy,276.14,113.2,162.94,41,59,2012
549,Mr. Peabody & Sherman,275.7,111.51,164.19,40.4,59.6,2014
550,Scooby-Doo,275.65,153.29,122.36,55.6,44.4,2002
551,Lincoln,275.29,182.21,93.09,66.2,33.8,2012
552,Lara Croft: Tomb Raider,274.7,131.17,143.54,47.8,52.2,2001
553,Tomb Raider,274.65,58.25,216.4,21.2,78.8,2018
554,The Expendables,274.47,103.07,171.4,37.6,62.4,2010
555,Cloudy With a Chance of Meatballs 2,274.33,119.79,154.53,43.7,56.3,2013
556,The Nutty Professor,273.96,128.81,145.15,47,53,1996
557,Jerry Maguire,273.55,153.95,119.6,56.3,43.7,1996
558,Bad Boys II,273.34,138.61,134.73,50.7,49.3,2003
559,Lilo & Stitch,273.14,145.79,127.35,53.4,46.6,2002
560,The Silence of the Lambs,272.74,130.74,142,47.9,52.1,1991
561,Grown Ups,271.46,162,109.46,59.7,40.3,2010
562,Neighbors,270.67,150.16,120.51,55.5,44.5,2014
563,The Firm,270.25,158.35,111.9,58.6,41.4,1993
564,We're the Millers,269.99,150.39,119.6,55.7,44.3,2012
565,Gran Torino,269.96,148.1,121.86,54.9,45.1,2008
566,"10,000 BC",269.78,94.78,175,35.1,64.9,2008
567,American Gangster,269.76,130.16,139.59,48.2,51.8,2007
568,Epic,268.43,107.52,160.91,40.1,59.9,2013
569,Exodus: Gods and Kings,268.18,65.01,203.16,24.2,75.8,2014
570,Bambi,267.45,102.25,165.2,38.2,61.8,1942
571,The Princess and the Frog,267.05,104.4,162.64,39.1,60.9,2009
572,Batman Returns,266.82,162.9,103.92,61,39,1992
573,Indecent Proposal,266.61,106.61,160,40,60,1993
574,Something's Gotta Give,265.33,124.73,140.6,47,53,2003
575,Bridget Jones: The Edge of Reason,265.13,40.23,224.9,15.2,84.8,2004
576,The Incredible Hulk,264.77,134.81,129.96,50.9,49.1,2008
577,Waterworld,264.22,88.25,175.97,33.4,66.6,1995
578,The Truman Show,264.12,125.62,138.5,47.6,52.4,1998
579,Charlie's Angels,264.11,125.31,138.8,47.4,52.6,2000
580,The Fifth Element,263.92,63.82,200.1,24.2,75.8,1997
581,Jumanji,262.8,100.5,162.3,38.2,61.8,1995
582,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,262.55,128.51,134.05,48.9,51.1,2006
583,Robots,262.51,128.2,134.31,48.8,51.2,2005
584,Knight and Day,261.99,76.42,185.57,29.2,70.8,2008
585,Total Recall,261.32,119.41,141.91,45.7,54.3,1990
586,This Is It,261.18,72.09,189.09,27.6,72.4,2009
587,Terminator: Dark Fate,261.12,62.25,198.87,23.8,76.2,2019
588,The Lone Ranger,260.5,89.3,171.2,34.3,65.7,2013
589,Super 8,260.1,127,133.09,48.8,51.2,2011
590,Mojin: The Lost Legend,259.37,1.24,258.12,0.5,99.5,2015
591,Blade Runner 2049,259.24,92.05,167.19,35.5,64.5,2017
592,Charlie's Angels: Full Throttle,259.18,100.83,158.35,38.9,61.1,2003
593,Parasite,258.59,53.37,205.22,20.6,79.4,2019
594,Rush Hour 3,258.1,140.13,117.97,54.3,45.7,2007
595,The Full Monty,257.94,45.95,211.99,17.8,82.2,1997
596,Kung Fu Yoga,257.75,0.36,257.39,0.1,99.9,2017
597,Annabelle,257.58,84.27,173.31,32.7,67.3,2014
598,The Village,256.7,114.2,142.5,44.5,55.5,2003
599,Lost in Hong Kong,256.28,1.3,254.98,0.5,99.5,2015
600,Erin Brockovich,256.27,125.6,130.68,49,51,2000
602,Marley & Me,255.74,143.15,112.59,56,44,2008
603,Halloween,255.61,159.34,96.27,62.3,37.7,2018
604,Get Out,255.45,176.04,79.41,68.9,31.1,2016
605,Us,255.18,175.08,80.1,68.6,31.4,2019
606,Cliffhanger,255,84.05,170.95,33,67,1993
